id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione,nebbia_words_ratio,cancellazione_words_ratio,dubitative_ratio,n_lists_f,n_lists_m,n_lists_p,n_lists_s,text_length,n_generico_non_terrestre,n_generico_terrestre,n_inventato,n_no_ambientazione,n_nominato_non_terrestre,n_nominato_terrestre
S194,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,174,0,0,111,4615,0,2,0,0,0,0
S195,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,324,543,0,1116,7605,0,1,0,0,0,1
S196,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,0,65,125,129,6229,0,1,0,0,0,1
S197,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,820,4138,0,1,0,0,0,0
S198,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,1109,73,0,527,6634,0,1,0,0,0,2
S199,0.000,0.000,0.000,1.000,0.000,0.000,0,0.23,0,100,0.23,0,0.03,0.02,0,0,0,229,6836,0,0,0,1,0,0
S200,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1474,0,201,181,7002,0,1,0,0,0,0
S201,0.000,1.000,0.000,0.000,0.000,0.000,0,0.14,0,100,0.14,0,0.03,0.02,0,0,0,0,0,0,1,0,0,0,0
S202,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,129,1044,12804,0,3,0,0,0,0
S203,0.286,0.714,0.000,0.000,0.000,0.000,0.12,0,100,0,0.1,0.06,0,0.02,177,0,0,587,11582,2,5,0,0,0,0
S204,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1114,328,269,1323,46528,0,5,0,0,0,0
S205,1.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,922,92,331,0,15867,1,0,0,0,0,0
S206,1.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,565,0,109,327,9364,2,0,0,0,0,0
V001,0.000,1.000,0.000,0.000,0.000,0.000,0.08,0.03,76.19.00,24.21.00,0.09,1.34,0.16,0.48,2752,2790,638,1546,249888,0,24,0,0,0,1
V003,0.000,0.000,0.833,0.000,0.000,0.167,0,0,0,0,0,0,0,0,3528,705,405,710,138103,0,18,5,0,0,1
V005,0.000,0.042,0.958,0.000,0.000,0.000,0,0.01,0,100,0.01,0,0.09,0.07,10513,7522,2215,5611,416814,0,63,7,0,0,1
V008,0.000,0.571,0.057,0.000,0.000,0.371,0,0.01,0,100,0.01,0,0.03,0.02,9495,2967,1665,3889,197268,0,29,1,0,0,5
V009,0.000,0.000,0.000,0.000,0.000,1.000,0.02,0.03,50,50,0.04,0.12,0.06,0.09,5820,662,789,2803,121328,0,12,0,0,0,3
V010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V016,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,809,847,539,884,62895,0,3,0,0,0,0
V018,0.000,0.000,0.000,0.000,0.000,1.000,0.06,0.08,43.26.00,57.14.00,0.13,0.35,0.28,0.34,6074,3328,2138,6345,146738,0,1,57,0,0,3
V020,0.000,0.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
V021,0.000,0.494,0.442,0.000,0.000,0.065,0.03,0.11,27.27.00,73.13.00,0.14,1.11,1,1,22454,1329,3603,10003,458335,0,58,16,0,0,3
